Name	SMILE
CHEMBL105775	 COC1=CC=C(C=C1)N(C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL108130	 COC1=CC=C(C=C1)N(C(C)C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL262444	 CCC1(CC(=O)NC2=CC=CC=C2)C(=O)N(CC(=O)N(C(C)C)C2=CC=CC=C2)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O
CHEMBL380922	 COC1=CC=C(C=C1)N(C(C)C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)[C@H](NC(=O)NC2=CC=CC(=C2)C(=O)C2=CC=CC=C2)C1=O
CHEMBL372773	 COC1=CC=C(C=C1)N(C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)[C@@H](NC(=O)NC2=CC=CC(=C2)C(=O)C2=CC=CC=C2)C1=O
CHEMBL382263	 COC1=CC=C(C=C1)N(C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)[C@H](NC(=O)NC2=CC=CC(=C2)C(=O)C2=CC=CC=C2)C1=O
CHEMBL381347	 COC1=CC=C(C=C1)N(C(C)C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)[C@@H](NC(=O)NC2=CC=CC(=C2)C(=O)C2=CC=CC=C2)C1=O
CHEMBL317668	 COC1=CC=C(C=C1)N(C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC(=C2)C(=O)C2=CC=CC=C2)C1=O
CHEMBL258486	 CC1=CC=CC(NC(=O)CN2C(=O)N(CC(=O)C(C)(C)C)C3=CC=CC=C3N(C3CCCCCC3)C2=O)=C1
CHEMBL356408	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)C2=CC3=CC=CC=C3N2)C1=O)C1=CC=CC=C1
